iter	Passed	Remaining
420	1931	2655
421	1934	2649
422	1937	2642
423	1940	2636
424	1945	2631
425	1948	2625
426	1951	2619
427	1955	2613
428	1959	2608
429	1963	2602
430	1966	2595
431	1969	2589
432	1972	2583
433	1977	2579
434	1980	2573
435	1984	2566
436	1987	2560
437	1991	2555
438	1995	2550
439	1999	2544
440	2002	2538
441	2005	2531
442	2009	2526
443	2012	2520
444	2016	2514
445	2019	2508
446	2024	2504
447	2027	2498
448	2030	2492
449	2034	2486
450	2037	2480
451	2042	2476
452	2045	2470
453	2048	2464
454	2052	2458
455	2056	2453
456	2059	2447
457	2062	2441
458	2065	2435
459	2069	2429
460	2074	2425
461	2077	2419
462	2081	2413
463	2084	2408
464	2088	2403
465	2092	2397
466	2095	2391
467	2098	2385
468	2102	2380
469	2106	2375
470	2110	2370
471	2113	2364
472	2116	2358
473	2120	2353
474	2124	2347
475	2127	2341
476	2131	2336
477	2134	2330
478	2139	2327
479	2143	2322
480	2146	2316
481	2150	2310
482	2155	2306
483	2158	2301
484	2161	2295
485	2165	2289
486	2168	2284
487	2172	2279
488	2175	2273
489	2179	2268
490	2182	2262
491	2187	2258
492	2190	2252
493	2193	2247
494	2197	2241
495	2201	2236
496	2205	2231
497	2208	2226
498	2211	2220
499	2215	2215
500	2220	2211
501	2223	2205
502	2226	2200
503	2230	2194
504	2235	2190
505	2238	2185
506	2241	2179
507	2245	2174
508	2249	2169
509	2252	2164
510	2256	2158
511	2259	2153
512	2262	2147
513	2267	2144
514	2270	2138
515	2274	2133
516	2277	2127
517	2282	2123
518	2285	2118
519	2288	2112
520	2292	2107
521	2295	2102
522	2300	2098
523	2304	2093
524	2307	2087
525	2310	2082
526	2315	2078
527	2319	2073
528	2322	2067
529	2325	2062
530	2329	2057
531	2333	2052
532	2336	2047
533	2340	2042
534	2343	2037
535	2348	2032
536	2351	2027
537	2355	2022
538	2358	2017
539	2363	2013
540	2366	2008
541	2369	2002
542	2373	1997
543	2376	1992
544	2381	1988
545	2384	1982
546	2388	1977
547	2391	1972
548	2396	1968
549	2399	1963
550	2402	1958
551	2406	1952
552	2410	1948
553	2414	1943
554	2417	1938
555	2421	1933
556	2424	1928
557	2429	1924
558	2432	1919
559	2435	1913
560	2438	1908
561	2444	1904
562	2447	1899
563	2450	1894
564	2454	1889
565	2457	1884
566	2461	1879
567	2464	1874
568	2468	1869
569	2471	1864
570	2475	1859
571	2478	1854
572	2482	1849
573	2485	1844
574	2488	1839
575	2493	1835
576	2496	1830
577	2500	1825
578	2503	1820
579	2507	1815
580	2511	1811
581	2514	1806
582	2518	1801
583	2521	1796
584	2526	1792
585	2529	1787
586	2532	1782
587	2536	1777
588	2541	1773
589	2544	1768
590	2547	1763
591	2551	1758
592	2556	1754
593	2559	1749
594	2562	1744
595	2567	1740
596	2570	1735
597	2573	1730
598	2577	1725
599	2581	1720
600	2584	1715
601	2587	1710
602	2591	1705
603	2594	1700
604	2599	1697
605	2603	1692
606	2606	1687
607	2609	1682
608	2614	1678
609	2617	1673
610	2620	1668
611	2624	1663
612	2627	1658
613	2632	1655
614	2636	1650
615	2641	1646
616	2645	1642
617	2650	1638
618	2654	1633
619	2659	1629
620	2665	1626
621	2669	1622
622	2673	1617
623	2678	1613
624	2682	1609
625	2686	1604
626	2689	1600
627	2694	1595
628	2697	1591
629	2700	1586
630	2704	1581
631	2707	1576
632	2713	1573
633	2716	1568
634	2719	1563
635	2723	1558
636	2728	1554
637	2731	1550
638	2735	1545
639	2738	1540
640	2742	1536
641	2746	1531
642	2749	1526
643	2752	1521
644	2756	1516
645	2761	1513
646	2764	1508
647	2767	1503
648	2771	1498
649	2776	1495
650	2780	1490
651	2783	1485
652	2786	1480
653	2791	1476
654	2794	1471
655	2797	1467
656	2800	1462
657	2804	1457
658	2809	1453
659	2813	1449
660	2816	1444
661	2819	1439
662	2824	1435
663	2827	1431
664	2831	1426
665	2834	1421
666	2838	1417
667	2842	1412
668	2846	1408
669	2849	1403
670	2852	1398
671	2857	1394
672	2860	1390
673	2864	1385
674	2867	1380
675	2871	1376
676	2874	1371
677	2878	1366
678	2881	1362
679	2884	1357
680	2889	1353
681	2892	1348
682	2896	1344
683	2899	1339
684	2905	1335
685	2909	1331
686	2912	1327
687	2915	1322
688	2920	1318
689	2923	1313
690	2926	1308
691	2930	1304
692	2933	1299
693	2938	1295
694	2941	1290
695	2944	1286
696	2947	1281
697	2952	1277
698	2955	1272
699	2959	1268
700	2962	1263
701	2965	1258
702	2970	1254
703	2973	1250
704	2977	1245
705	2980	1241
706	2985	1237
707	2988	1232
708	2991	1227
709	2995	1223
710	2998	1218
711	3003	1214
712	3006	1210
713	3009	1205
714	3013	1201
715	3017	1197
716	3021	1192
717	3024	1188
718	3027	1183
719	3031	1178
720	3035	1174
721	3039	1170
722	3042	1165
723	3045	1161
724	3050	1157
725	3053	1152
726	3057	1148
727	3060	1143
728	3064	1139
729	3068	1135
730	3072	1130
731	3075	1125
732	3079	1121
733	3083	1117
734	3086	1112
735	3089	1108
736	3093	1103
737	3097	1099
738	3100	1095
739	3104	1090
740	3107	1086
741	3111	1081
742	3117	1078
743	3120	1073
744	3124	1069
745	3127	1064
746	3132	1060
747	3135	1056
748	3138	1051
749	3142	1047
750	3147	1043
751	3150	1039
752	3153	1034
753	3157	1030
754	3160	1025
755	3164	1021
756	3168	1016
757	3171	1012
758	3174	1007
759	3179	1004
760	3182	999
761	3186	995
762	3189	990
763	3192	986
764	3197	982
765	3200	977
766	3203	973
767	3206	968
768	3211	964
769	3215	960
770	3218	955
771	3221	951
772	3225	947
773	3229	942
774	3232	938
775	3236	934
776	3239	929
777	3244	925
778	3248	921
779	3251	917
780	3254	912
781	3258	908
782	3262	904
783	3265	899
784	3269	895
785	3272	890
786	3277	887
787	3280	882
788	3284	878
789	3287	873
790	3291	869
791	3295	865
792	3298	861
793	3301	856
794	3306	852
795	3310	848
796	3313	844
797	3316	839
798	3320	835
799	3325	831
800	3328	826
801	3331	822
802	3335	818
803	3339	814
804	3342	809
805	3345	805
806	3348	800
807	3352	796
808	3357	792
809	3360	788
810	3363	783
811	3366	779
812	3370	775
813	3374	771
814	3377	766
815	3380	762
816	3384	758
817	3388	754
818	3392	749
819	3395	745
820	3399	741
821	3403	736
822	3407	732
823	3410	728
824	3413	724
825	3416	719
826	3421	715
827	3425	711
828	3428	707
829	3431	702
830	3435	698
831	3439	694
832	3442	690
833	3445	685
834	3449	681
835	3454	677
836	3457	673
837	3460	669
838	3464	664
839	3468	660
840	3471	656
841	3474	652
842	3478	647
843	3481	643
844	3486	639
845	3489	635
846	3492	630
847	3496	626
848	3500	622
849	3503	618
850	3506	614
851	3510	609
852	3513	605
853	3518	601
854	3523	597
855	3527	593
856	3532	589
857	3536	585
858	3539	581
859	3543	576
860	3546	572
861	3551	568
862	3554	564
863	3557	559
864	3560	555
865	3565	551
866	3568	547
867	3572	543
868	3575	538
869	3578	534
870	3583	530
871	3586	526
872	3590	522
873	3593	518
874	3598	514
875	3601	509
876	3604	505
877	3607	501
878	3611	497
879	3616	493
880	3619	488
881	3623	484
882	3626	480
883	3631	476
884	3635	472
885	3638	468
886	3642	463
887	3646	459
888	3650	455
889	3653	451
890	3657	447
891	3662	443
892	3665	439
893	3669	435
894	3672	430
895	3675	426
896	3680	422
897	3683	418
898	3687	414
899	3690	410
900	3694	405
901	3698	401
902	3701	397
903	3704	393
904	3707	389
905	3712	385
906	3716	381
907	3719	376
908	3722	372
909	3728	368
910	3731	364
911	3735	360
912	3738	356
913	3743	352
914	3747	348
915	3750	343
916	3754	339
917	3760	335
918	3763	331
919	3768	327
920	3771	323
921	3776	319
922	3779	315
923	3783	311
924	3786	307
925	3790	302
926	3794	298
927	3797	294
928	3800	290
929	3804	286
930	3809	282
931	3812	278
932	3816	274
933	3819	269
934	3823	265
935	3827	261
936	3831	257
937	3834	253
938	3838	249
939	3842	245
940	3845	241
941	3849	237
942	3852	232
943	3857	228
944	3860	224
945	3864	220
946	3867	216
947	3871	212
948	3875	208
949	3878	204
950	3883	200
951	3886	195
952	3889	191
953	3893	187
954	3898	183
955	3901	179
956	3904	175
957	3908	171
958	3912	167
959	3917	163
960	3920	159
961	3923	154
962	3926	150
963	3931	146
964	3935	142
965	3938	138
966	3941	134
967	3945	130
968	3949	126
969	3952	122
970	3955	118
971	3959	114
972	3964	110
973	3967	105
974	3970	101
975	3973	97
976	3978	93
977	3982	89
978	3985	85
979	3988	81
980	3991	77
981	3996	73
982	4000	69
983	4003	65
984	4006	61
985	4012	56
986	4015	52
987	4019	48
988	4022	44
989	4026	40
990	4030	36
991	4033	32
992	4036	28
993	4040	24
994	4044	20
995	4047	16
996	4051	12
997	4054	8
998	4058	4
999	4062	0
